dataset	group	sample	junction_b	exon4_donor_total	share_b
SH-SY5Y	Control	SRR33374995	6	46	0.1304
SH-SY5Y	Control	SRR33374996	11	57	0.1930
SH-SY5Y	Control	SRR33375001	9	45	0.2000
SH-SY5Y	TDP-43 KD	SRR33374997	4	6	0.6667
SH-SY5Y	TDP-43 KD	SRR33374999	17	17	1.0000
SH-SY5Y	TDP-43 KD	SRR33375000	12	13	0.9231
iPSC colonies	Control	SRR24314006	8	810	0.0099
iPSC colonies	Control	SRR24314016	13	1010	0.0129
iPSC colonies	Control	SRR24314019	4	919	0.0044
iPSC colonies	Control	SRR24314022	8	893	0.0090
iPSC colonies	TDP-43 KD	SRR24314005	144	196	0.7347
iPSC colonies	TDP-43 KD	SRR24314015	140	170	0.8235
iPSC colonies	TDP-43 KD	SRR24314018	133	168	0.7917
iPSC colonies	TDP-43 KD	SRR24314021	195	259	0.7529
