comparison,gene,unit,n_case,n_control,cliffs_delta,p
NAWM vs control WM,MBP,sample,21,25,0.048,0.79129
NAWM vs control WM,MBP,donor,7,5,0.257,0.5303
NAWM vs control WM,PLP1,sample,21,25,-0.082,0.64329
NAWM vs control WM,PLP1,donor,7,5,-0.086,0.87626
NAWM vs control WM,MOG,sample,21,25,-0.261,0.13372
NAWM vs control WM,MOG,donor,7,5,-0.429,0.26768
NAWM vs control WM,MAG,sample,21,25,-0.299,0.085412
NAWM vs control WM,MAG,donor,7,5,-0.429,0.26768
NAWM vs control WM,GFAP,sample,21,25,0.246,0.15813
NAWM vs control WM,GFAP,donor,7,5,0.257,0.5303
NAWM vs control WM,TRPC1,sample,21,25,-0.463,0.0076218
NAWM vs control WM,TRPC1,donor,7,5,-0.771,0.030303
"MS vs control, raw TRPC1",TRPC1,sample,73,25,-0.557,3.4723e-05
"MS vs control, raw TRPC1",TRPC1,donor,10,5,-0.8,0.012654
"MS vs control, myelin+glia-adjusted TRPC1",TRPC1,sample,73,25,-0.395,0.0033474
"MS vs control, myelin+glia-adjusted TRPC1",TRPC1,donor,10,5,-0.64,0.055278
Normal appearing white matter (NAWM) vs control WM,TRPC1,donor,7,5,-0.771,0.030303
Remyelinating (RL) vs control WM,TRPC1,donor,4,5,-1.0,0.015873
Active (AL) vs control WM,TRPC1,donor,7,5,-0.714,0.04798
Chronic active (CA) vs control WM,TRPC1,donor,6,5,-0.667,0.082251
Inactive (IL) vs control WM,TRPC1,donor,4,5,-1.0,0.015873
