Family,Gene,TPM_control,TPM_KD,share_of_family_control_pct,dominant,log2FC,padj,delta_TPM
STIM (ER Ca2+ sensor),STIM1,35.46,50.54,63.9,dominant,0.929,4.32e-47,15.08
STIM (ER Ca2+ sensor),STIM2,20.01,12.02,36.1,,-0.527,1.84e-07,-7.99
STIM (ER Ca2+ sensor),FAMILY TOTAL,55.47,62.55,100.0,,0.173,,7.08
ORAI (CRAC channel),ORAI1,10.6,11.7,15.2,,0.433,0.000245,1.1
ORAI (CRAC channel),ORAI2,53.78,35.86,77.3,dominant,-0.173,0.00215,-17.92
ORAI (CRAC channel),ORAI3,5.24,20.06,7.5,,2.056,2.32e-64,14.82
ORAI (CRAC channel),FAMILY TOTAL,69.62,67.62,100.0,,-0.042,,-2.0
SERCA (Ca2+ re-uptake into ER),ATP2A1,0.67,0.96,0.4,,0.959,0.0243,0.3
SERCA (Ca2+ re-uptake into ER),ATP2A2,162.38,103.1,98.1,dominant,-0.247,8.71e-09,-59.28
SERCA (Ca2+ re-uptake into ER),ATP2A3,2.4,7.64,1.5,,1.306,1.43e-29,5.24
SERCA (Ca2+ re-uptake into ER),FAMILY TOTAL,165.45,111.7,100.0,,-0.567,,-53.74
TRPC,TRPC1,4.34,6.06,98.2,dominant,0.958,1.26e-12,1.72
TRPC,TRPC3,0.06,0.02,1.3,,-0.938,0.475,-0.04
TRPC,TRPC4,0.0,0.0,0.0,,,NA,0.0
TRPC,TRPC5,0.02,0.0,0.4,,-1.633,0.454,-0.01
TRPC,TRPC6,0.0,0.0,0.1,,,NA,-0.0
TRPC,FAMILY TOTAL,4.42,6.08,100.0,,0.461,,1.67
SOCE regulators,SARAF,179.27,191.68,82.4,dominant,0.548,5.85e-37,12.41
SOCE regulators,STIMATE,14.31,12.01,6.6,,-0.05,0.718,-2.3
SOCE regulators,CRACR2A,8.31,4.35,3.8,,-0.56,0.00043,-3.95
SOCE regulators,CRACR2B,1.18,1.55,0.5,,0.925,0.0165,0.37
SOCE regulators,CBARP,14.57,6.56,6.7,,-1.254,3.05e-25,-8.01
SOCE regulators,FAMILY TOTAL,217.64,216.15,100.0,,-0.01,,-1.48
Mitochondrial Ca2+ uptake,MCU,26.79,8.21,13.5,,-1.041,2.89e-23,-18.58
Mitochondrial Ca2+ uptake,MICU1,70.93,50.3,35.7,,-0.069,0.406,-20.62
Mitochondrial Ca2+ uptake,MICU2,29.5,12.21,14.9,,-0.566,6.92e-07,-17.29
Mitochondrial Ca2+ uptake,MICU3,3.2,2.97,1.6,,0.565,0.0275,-0.22
Mitochondrial Ca2+ uptake,MCUR1,49.95,35.18,25.1,,0.044,0.621,-14.77
Mitochondrial Ca2+ uptake,MCUB,18.28,4.69,9.2,,-1.655,1.51e-30,-13.58
Mitochondrial Ca2+ uptake,FAMILY TOTAL,198.64,113.57,100.0,,-0.807,,-85.07
PMCA (Ca2+ extrusion),ATP2B1,20.26,18.77,59.0,dominant,0.29,2.79e-05,-1.48
PMCA (Ca2+ extrusion),ATP2B2,2.79,6.54,8.1,,1.346,8.6e-39,3.76
PMCA (Ca2+ extrusion),ATP2B3,0.31,0.97,0.9,,2.584,2.2e-24,0.66
PMCA (Ca2+ extrusion),ATP2B4,10.99,9.21,32.0,,0.308,4.98e-06,-1.78
PMCA (Ca2+ extrusion),FAMILY TOTAL,34.34,35.49,100.0,,0.048,,1.15
