gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
5S_RRNA,7.037355,0.0,0.0,0.0,0.0,0.0
5_8S_RRNA,0.0,0.0,0.0,0.0,0.0,0.0
7SK,10.952125,49.962662,0.597502,89.66474099999999,0.0,0.0
A1BG,13.612816,10.539984,10.117907999999998,18.662134000000002,24.461093,24.595958
A1BG-AS1,14.127659,14.801373,14.904874,11.193823,10.408533,14.822055
A1CF,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.029667,0.112863,0.328255,0.153534,0.362095
A2M-AS1,0.0,0.085147,0.039852,0.021312,0.0,0.0
A2ML1,0.041362,0.056138,0.023863,0.0,0.0,0.0
A2ML1-AS1,0.124819,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.39061,0.0,0.31014,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.016893,0.015597,0.0,0.0
A4GALT,0.0,0.0,0.0,0.0,0.158666,0.02094
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,99.060349,86.98480400000001,93.897576,50.818042,54.071615,54.395656
AACS,18.637679,16.810056,17.718118,10.239424999999999,11.609415,11.628085
AACSP1,0.0,0.013054,0.01196,0.020662,0.039047,0.0
AADAC,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.108946,0.097394,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,28.450703999999998,29.093055999999997,35.7528,18.894389999999998,20.933128,17.446155
AAGAB,104.00998,115.13587100000001,115.07298200000001,31.914689,30.063641999999998,32.603801
AAK1,35.538599000000005,37.272246,39.663841,17.592368,19.664,20.169059
AAMDC,45.424198,45.338632999999994,41.890844,36.510728,38.781494,33.996195
AAMP,142.997741,134.582337,147.36856300000002,76.781015,75.346523,83.641438
AANAT,0.300309,0.320516,0.0,0.046537,0.18677300000000002,0.0
AAR2,61.704443999999995,58.65399,60.984365,41.422002,44.479513000000004,43.9039
AARD,1.290146,1.564807,2.2881609999999997,1.296234,1.5441989999999999,1.69797
AARS1,86.68214,88.12613800000001,87.90878199999999,48.996160999999994,51.588224000000004,52.677752000000005
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,28.5069,26.697357,27.560329000000003,19.01645,18.824095,20.998959999999997
AARSD1,59.882665,51.470341999999995,60.345551,51.579715,47.699057,41.407719
AARSD1P1,0.684206,0.507514,1.047171,0.25943,0.347219,0.215086
AASDH,8.273395,8.919457,9.112792,7.835947,7.444,6.171438
