gene,SRR33374996,SRR33375001,SRR33374995,SRR33374999,SRR33374997,SRR33375000
5S_RRNA,5.212,0.0,0.0,0.0,0.0,0.0
5_8S_RRNA,0.0,0.0,0.0,0.0,0.0,0.0
7SK,139.039,645.195,2.0,1348.551,0.0,0.0
A1BG,186.36900000000003,150.076,168.553,307.08799999999997,304.77599999999995,282.764
A1BG-AS1,326.0,299.038,360.0,298.998,209.999,301.0
A1CF,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,3.0,1.0,4.0,1.0,3.0
A2M-AS1,0.0,3.0,2.0,1.0,0.0,0.0
A2ML1,1.0,2.0,2.0,0.0,0.0,0.0
A2ML1-AS1,1.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,1.995,0.0,1.953,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0
A3GALT2,0.0,0.0,1.0,1.0,0.0,0.0
A4GALT,0.0,0.0,0.0,0.0,0.979,1.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,2719.9550000000004,2367.83,2752.111,1785.999,1511.299,1556.951
AACS,1338.015,1278.9270000000001,1437.482,964.039,771.663,757.632
AACSP1,0.0,1.0,1.0,2.0,3.0,0.0
AADAC,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.994,1.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,943.088,985.0,1148.434,848.001,679.204,611.0
AAGAB,4308.808,4594.001,4994.036,1598.001,1293.025,1310.868
AAK1,4256.938,4807.857,5070.513999999999,3102.731,2268.844,2163.989
AAMDC,426.90000000000003,401.18100000000004,413.362,428.615,349.96599999999995,318.0
AAMP,4811.991,4432.85,5283.072,3193.917,2477.883,2745.7090000000003
AANAT,8.0,5.0,0.0,1.0,4.0,0.0
AAR2,2500.438,2298.979,2630.997,2093.6090000000004,1759.792,1776.146
AARD,53.715,52.138000000000005,65.001,40.622,31.001,42.047
AARS1,7677.026,7679.36,8299.57,5294.962,4408.895,4543.162
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,2539.11,2332.372,2647.163,2141.219,1663.309,1825.156
AARSD1,940.415,847.9359999999999,1021.3389999999999,1018.206,813.229,771.2850000000001
AARSD1P1,10.238,7.294,16.364,4.809,5.22,3.315
AASDH,605.567,598.002,714.0,719.999,539.0010000000001,452.0
AASDHPPT,2751.674,2908.126,3147.745,3058.9999999999995,2034.5230000000001,1868.116
