gene,gene_upper,panel,source_lists,categories,source_evidence
CACNA1A,CACNA1A,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1B,CACNA1B,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1C,CACNA1C,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1D,CACNA1D,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1E,CACNA1E,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1F,CACNA1F,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1G,CACNA1G,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1H,CACNA1H,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1I,CACNA1I,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA1S,CACNA1S,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA2D1,CACNA2D1,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA2D2,CACNA2D2,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA2D3,CACNA2D3,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNA2D4,CACNA2D4,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNB1,CACNB1,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNB2,CACNB2,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNB3,CACNB3,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNB4,CACNB4,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
CACNG1,CACNG1,Tier2_Channel_Release_Transport_117,Curated_258,VGCC,Curated_258:VGCC
