gene,gene_upper,panel,source_lists,categories,source_evidence
ANO1,ANO1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_activated,Curated_258:Ca_activated
ANO2,ANO2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_activated,Curated_258:Ca_activated
ANXA1,ANXA1,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA11,ANXA11,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA2,ANXA2,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA3,ANXA3,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA4,ANXA4,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA5,ANXA5,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA6,ANXA6,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ANXA7,ANXA7,Tier3_Curated_Calcium_Handling_258,Curated_258,Annexins,Curated_258:Annexins
ATP2A1,ATP2A1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2A2,ATP2A2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2A3,ATP2A3,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2B1,ATP2B1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2B2,ATP2B2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2B3,ATP2B3,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2B4,ATP2B4,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2C1,ATP2C1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
ATP2C2,ATP2C2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_pumps,Curated_258:Ca_pumps
CABP1,CABP1,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CABP2,CABP2,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CABP4,CABP4,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CABP5,CABP5,Tier3_Curated_Calcium_Handling_258,Curated_258,Ca_sensors,Curated_258:Ca_sensors
CACNA1A,CACNA1A,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1B,CACNA1B,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1C,CACNA1C,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
CACNA1D,CACNA1D,Tier3_Curated_Calcium_Handling_258,Curated_258,VGCC,Curated_258:VGCC
