gene,interaction_log2,n_conditions_positive,p_t_test_4conditions,q_t_test_4conditions,p_sign_test,q_sign_test,interaction_XRN1,interaction_XRN1_SMG6,interaction_XRN1_UPF1,interaction_UPF1_SMG6
CBARP,1.51785252004642,4,0.0080326019910369,0.14480618184407,0.0625,0.310311851659751,1.19108224501758,1.40335197717361,2.22656598347138,1.25040987452311
RYR2,0.982655045869144,4,0.012526966005585,0.15785086537794,0.0625,0.310311851659751,0.74106098242294,1.49970856485849,0.711645523180492,0.978205113014656
TRPC3,0.878464114791494,3,0.0974781023677657,0.282717507927719,0.3125,0.78319315355413,-0.186306796241766,0.963638785690297,1.29123552570143,1.44528894401602
RYR3,0.675060140867503,4,0.117208852589874,0.305868614455474,0.0625,0.310311851659751,0.873225291451372,0.233815257450333,1.46211552250008,0.131084492068227
ATG4B,0.654198021658436,4,0.0052530629072158,0.139751059432179,0.0625,0.310311851659751,0.632519408268033,0.73515845704153,0.833001075732023,0.416113145592158
KALRN,0.596751059916504,4,0.0088180457790929,0.14613050566887,0.0625,0.310311851659751,0.719594962421676,0.453165552073843,0.805389209460715,0.408854515709782
SETD5,0.583887228344798,4,0.0068438776411577,0.142281876408738,0.0625,0.310311851659751,0.355997867312976,0.594859059108529,0.782128464656154,0.602563522301534
MICU2,0.574682781708528,3,0.0824163711676164,0.263387474637428,0.3125,0.78319315355413,-0.0367817779515676,0.536776651552731,0.981102741196818,0.81763351203613
MCU,0.571331742360485,4,0.0243970300435925,0.18098748277848,0.0625,0.310311851659751,0.294484018166948,0.720025019166652,0.39720037955186,0.873617552556482
UNC13A,0.450770601308589,3,0.101769188387356,0.287689017241619,0.3125,0.78319315355413,0.489749309942386,0.696649086830876,0.72368795142993,-0.107003942968836
TRPC5,0.275703043048288,3,0.588737539819967,0.73119560167715,0.3125,0.78319315355413,1.11784551168407,0.803247864307655,0.128767831519276,-0.947049035317846
MICU3,0.263849361770755,3,0.0882965132738718,0.27157223309762,0.3125,0.78319315355413,-0.043260339724128,0.441964533472293,0.336046637219177,0.320646616115679
