comparison,gene,n_case,n_control,median_difference_log2CPM,cliffs_delta,p_value,q_value,significant,direction
GSE123496 · Corpus callosum,TRPC1,5,5,-0.321,-0.52,0.2222222222222222,0.419753086419753,,decreased
GSE123496 · Corpus callosum,SARAF,5,5,-0.1812,-0.2,0.6904761904761905,0.7336309523809523,,decreased
GSE123496 · Corpus callosum,CBARP,5,5,0.4875,0.76,0.0555555555555555,0.1574074074074074,,increased
GSE123496 · Corpus callosum,STIM1,5,5,0.3968,0.92,0.0158730158730158,0.1349206349206349,,increased
GSE123496 · Corpus callosum,STIM2,5,5,-0.1257,-0.28,0.5476190476190477,0.7161172161172161,,decreased
GSE123496 · Corpus callosum,ORAI2,5,5,0.4641,0.84,0.0317460317460317,0.1349206349206349,,increased
GSE123496 · Corpus callosum,ORAI3,5,5,0.1763,0.28,0.5476190476190477,0.7161172161172161,,increased
GSE123496 · Corpus callosum,ATP2A2,5,5,-0.0368,-0.04,1.0,1.0,,decreased
GSE123496 · Corpus callosum,ATP2A3,5,5,-0.4032,-0.28,0.5476190476190477,0.7161172161172161,,decreased
GSE123496 · Corpus callosum,STMN2,5,5,1.778,0.44,0.3095238095238095,0.5261904761904762,,increased
GSE123496 · Corpus callosum,UNC13A,5,5,1.3741,0.2,0.6904761904761905,0.7336309523809523,,increased
GSE123496 · Corpus callosum,TARDBP,5,5,-0.3873,-0.6,0.1507936507936507,0.3204365079365079,,decreased
GSE123496 · Corpus callosum,GFAP,5,5,1.1214,0.76,0.0555555555555555,0.1574074074074074,,increased
GSE123496 · Corpus callosum,SNAP25,5,5,1.5463,0.2,0.6904761904761905,0.7336309523809523,,increased
GSE123496 · Corpus callosum,RBFOX3,5,5,0.9504,0.68,0.0952380952380952,0.2312925170068027,,increased
GSE123496 · Corpus callosum,MBP,5,5,-2.2416,-0.84,0.0317460317460317,0.1349206349206349,,decreased
GSE123496 · Corpus callosum,PLP1,5,5,-1.7159,-0.84,0.0317460317460317,0.1349206349206349,,decreased
GSE123496 · Frontal cortex,TRPC1,5,5,-0.2141,-0.04,1.0,1.0,,decreased
GSE123496 · Frontal cortex,SARAF,5,5,0.1581,0.04,1.0,1.0,,increased
GSE123496 · Frontal cortex,CBARP,5,5,-0.2959,-0.36,0.4206349206349206,1.0,,decreased
GSE123496 · Frontal cortex,STIM1,5,5,-0.1348,-0.2,0.6904761904761905,1.0,,decreased
GSE123496 · Frontal cortex,STIM2,5,5,0.1275,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Frontal cortex,ORAI2,5,5,-0.751,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Frontal cortex,ORAI3,5,5,-0.4364,-0.04,1.0,1.0,,decreased
GSE123496 · Frontal cortex,ATP2A2,5,5,0.0499,0.04,1.0,1.0,,increased
GSE123496 · Frontal cortex,ATP2A3,5,5,-0.4154,-0.2,0.6904761904761905,1.0,,decreased
GSE123496 · Frontal cortex,STMN2,5,5,0.7463,-0.04,1.0,1.0,,decreased
GSE123496 · Frontal cortex,UNC13A,5,5,0.1017,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Frontal cortex,TARDBP,5,5,0.2008,0.76,0.0555555555555555,0.4722222222222222,,increased
GSE123496 · Frontal cortex,GFAP,5,5,1.6051,0.84,0.0317460317460317,0.4722222222222222,,increased
GSE123496 · Frontal cortex,SNAP25,5,5,0.4862,-0.04,1.0,1.0,,decreased
GSE123496 · Frontal cortex,RBFOX3,5,5,-0.2038,-0.12,0.8412698412698413,1.0,,decreased
GSE123496 · Frontal cortex,MBP,5,5,-1.9286,-0.44,0.3095238095238095,1.0,,decreased
GSE123496 · Frontal cortex,PLP1,5,5,-0.7757,-0.28,0.5476190476190477,1.0,,decreased
GSE123496 · Hippocampus,TRPC1,5,5,-0.8936,-0.44,0.3095238095238095,1.0,,decreased
GSE123496 · Hippocampus,SARAF,5,5,-0.1385,-0.28,0.5476190476190477,1.0,,decreased
GSE123496 · Hippocampus,CBARP,5,5,-0.0447,0.04,1.0,1.0,,increased
GSE123496 · Hippocampus,STIM1,5,5,0.1879,0.2,0.6904761904761905,1.0,,increased
GSE123496 · Hippocampus,STIM2,5,5,-0.0734,-0.04,1.0,1.0,,decreased
GSE123496 · Hippocampus,ORAI2,5,5,-0.1554,-0.04,1.0,1.0,,decreased
GSE123496 · Hippocampus,ORAI3,5,5,0.0254,0.12,0.8412698412698413,1.0,,increased
