dataset,panel,testable_genes,significant_genes,observed_pct,background_pct,matched_null_pct,matched_null_CI,p_hypergeometric,p_matched_permutation,decision
GSE296712_SHSY5Y,Tier1_SOCE_TRP_51,25,10,40.0,30.8,28.5,16.0-44.0,0.2136,0.1152,no enrichment
GSE296712_SHSY5Y,Tier2_Channel_Release_Transport_117,63,24,38.1,30.7,36.4,27.0-46.0,0.1309,0.4303,no enrichment
GSE296712_SHSY5Y,Tier3_Curated_Calcium_Handling_258,151,52,34.4,30.7,30.7,24.5-37.1,0.1854,0.145,no enrichment
GSE296712_SHSY5Y,Tier4_Expanded_Calcium_Associated_732,383,133,34.7,30.7,32.4,28.5-36.3,0.051,0.139,no enrichment
GSE230647_iPSC_koloni,Tier1_SOCE_TRP_51,37,11,29.7,33.4,34.2,21.6-48.6,0.7359,0.8036,no enrichment
GSE230647_iPSC_koloni,Tier2_Channel_Release_Transport_117,96,39,40.6,33.3,44.8,36.5-53.1,0.0814,0.8698,no enrichment
GSE230647_iPSC_koloni,Tier3_Curated_Calcium_Handling_258,217,87,40.1,33.3,40.2,35.0-45.6,0.0216,0.5443,no enrichment
GSE230647_iPSC_koloni,Tier4_Expanded_Calcium_Associated_732,567,213,37.6,33.2,38.0,34.9-41.4,0.0179,0.6347,no enrichment
GSE77702_iPSC_MN,Tier1_SOCE_TRP_51,24,4,16.7,10.7,11.7,0.0-25.0,0.2533,0.3025,no enrichment
GSE77702_iPSC_MN,Tier2_Channel_Release_Transport_117,63,13,20.6,10.7,13.0,6.3-20.6,0.015,0.0456,ZENGINLESME VAR
GSE77702_iPSC_MN,Tier3_Curated_Calcium_Handling_258,141,23,16.3,10.7,11.1,6.4-16.3,0.0269,0.032,ZENGINLESME VAR
GSE77702_iPSC_MN,Tier4_Expanded_Calcium_Associated_732,349,42,12.0,10.7,11.2,8.3-14.3,0.2365,0.3279,no enrichment
GSE27394_mouse_SE,Tier1_SOCE_TRP_51,23,2,8.7,6.7,8.1,0.0-17.4,0.4658,0.5799,no enrichment
GSE27394_mouse_SE,Tier2_Channel_Release_Transport_117,62,5,8.1,6.7,9.8,3.2-17.7,0.4079,0.76,no enrichment
GSE27394_mouse_SE,Tier3_Curated_Calcium_Handling_258,144,16,11.1,6.7,8.2,4.2-12.5,0.0328,0.125,no enrichment
GSE27394_mouse_SE,Tier4_Expanded_Calcium_Associated_732,334,35,10.5,6.6,8.3,5.7-11.1,0.0058,0.0784,no enrichment
Mouse_PE_C2C12,Tier1_SOCE_TRP_51,28,7,25.0,24.0,25.1,10.7-39.3,0.5255,0.5971,no enrichment
Mouse_PE_C2C12,Tier2_Channel_Release_Transport_117,62,20,32.3,24.0,29.2,19.4-38.7,0.0885,0.3081,no enrichment
Mouse_PE_C2C12,Tier3_Curated_Calcium_Handling_258,148,43,29.1,24.0,26.7,20.9-33.1,0.0923,0.2587,no enrichment
Mouse_PE_C2C12,Tier4_Expanded_Calcium_Associated_732,382,105,27.5,23.9,25.2,21.5-28.8,0.0635,0.1336,no enrichment
Mouse_PE_NSC34,Tier1_SOCE_TRP_51,30,11,36.7,29.8,29.8,16.7-43.3,0.2604,0.2296,no enrichment
Mouse_PE_NSC34,Tier2_Channel_Release_Transport_117,75,31,41.3,29.7,37.0,28.0-46.7,0.0215,0.2146,no enrichment
Mouse_PE_NSC34,Tier3_Curated_Calcium_Handling_258,175,60,34.3,29.7,33.9,28.0-40.0,0.1102,0.4795,no enrichment
Mouse_PE_NSC34,Tier4_Expanded_Calcium_Associated_732,426,140,32.9,29.7,32.9,29.1-36.6,0.0872,0.5341,no enrichment
