gene,K562 poly(A)+ mRNA,NSC34,SH-SY5Y 25 ng/mL,SH-SY5Y 75 ng/mL,SH-SY5Y 75 ng/mL (MAPQ-filtered set),iPSC colonies
ACTL6B,,,0.69361125,0.97605475,0.98105375,0.9023195
AGRN,0.5673865,,0.344931,0.60112975,0.63112375,
ARHGAP32,,,0.784843,0.839832,0.84358125,0.6448710000000001
ATG4B,0.28369325,,0.469906,0.66611675,0.8423315,0.21620675
CAMK2B,,,,,,0.47115575
ELAVL3,,,0.44991,0.804839,0.82108575,0.2349529999999999
GPSM2,,,0.41116775,0.51864625,0.6123775,0.4874025
HDGFL2,0.2274545,,0.5573885,0.80608875,0.88357325,0.5623875
KALRN,,,0.9273145,0.91606675,,0.7973405
PFKP,0.319936,,0.7123575,0.97605475,0.9723055,0.714857
RSF1,,,,0.204959,0.214957,
SETD5,,,0.294941,0.28869225,0.27119575,0.3386822499999999
STMN2,,,0.8873224999999999,0.92856425,0.9573085,0.974805
UNC13A,,,0.4924015,0.979804,0.974805,0.52114575
Unc13a,,0.2799439999999999,,,,
