gene,region,n_ALS,n_control,median_ALS,median_control,cliffs_delta,p_value,q_value
STMN2,Cerebellum,192,46,0.0,0.0,-0.0399682971014492,0.1789525524560125,0.3416366910523875
STMN2,Cortex Frontal,187,66,0.0,0.0,0.0986874088478366,0.0148492835480589,0.0560111157729567
STMN2,Cortex Motor Lateral,86,19,0.0,0.0,0.233782129742962,0.0516630016609416,0.1356153793599717
STMN2,Cortex Motor Medial,89,21,0.0,0.0,0.3370786516853932,0.002294629513829,0.0120468049476027
STMN2,Cortex Motor Unspecified,69,9,0.0,0.0,0.4347826086956521,0.0163111724131754,0.0560111157729567
STMN2,Cortex Occipital,50,11,0.0,0.0,0.04,0.5231948042635319,0.6462994640902453
STMN2,Cortex Temporal,46,42,0.0,0.0,0.2826086956521739,0.0002258377576661,0.001580864303663
STMN2,Hippocampus,38,11,0.0,0.0,0.131578947368421,0.2181611097843886,0.3524141004209354
STMN2,Spinal Cord Cervical,148,45,0.0166574189670319,0.0,0.6189189189189189,1.810004068851898e-11,1.9005042722944928e-10
STMN2,Spinal Cord Lumbar,156,49,0.0240963855421686,0.0,0.7051282051282052,4.557385294914861e-15,9.570509119321209e-14
STMN2,Spinal Cord Thoracic,41,7,0.0044943820224719,0.0,0.5121951219512195,0.0186703719243189,0.0560111157729567
UNC13A,Cerebellum,171,44,0.0,0.0,0.0,1.0,1.0
UNC13A,Cortex Frontal,184,67,0.0,0.0,0.0108695652173913,0.3960450000295368,0.5238298575566589
UNC13A,Cortex Motor Lateral,88,20,0.0,0.0,0.0795454545454545,0.1977392484896696,0.3460436848569219
UNC13A,Cortex Motor Medial,88,21,0.0,0.0,0.1363636363636363,0.0759768703636193,0.1772793641817786
UNC13A,Cortex Motor Unspecified,71,10,0.0,0.0,0.0704225352112676,0.3991084629003115,0.5238298575566589
UNC13A,Cortex Occipital,51,12,0.0,0.0,0.0,1.0,1.0
UNC13A,Cortex Temporal,45,42,0.0,0.0,0.0444444444444444,0.1745204182823311,0.3416366910523875
UNC13A,Hippocampus,38,11,0.0,0.0,0.0,1.0,1.0
UNC13A,Spinal Cord Cervical,11,7,0.0,0.0,0.1818181818181818,0.2810603162375875,0.4215904743563813
UNC13A,Spinal Cord Lumbar,18,6,0.0,0.0,0.0555555555555555,0.6304275015358904,0.7354987517918722
