region,target_gene,proxy,n,spearman_rho,p_value,q_value,in_correction_family
Cerebellum,TRPC1,cryptic STMN2 PSI,188,0.056,0.4433492364709887,0.6057128195000693,yes
Cerebellum,TRPC1,gene-level STMN2,188,0.508,9.540027040330524e-14,9.994314042251026e-13,yes
Cerebellum,SARAF,cryptic STMN2 PSI,188,0.002,0.9815528335658642,0.9815528335658642,yes
Cerebellum,SARAF,gene-level STMN2,188,0.749,4.3949011199626025e-35,1.6114637439862877e-33,yes
Cerebellum,CBARP,cryptic STMN2 PSI,188,0.041,0.5794488582087436,0.7243110727609294,yes
Cerebellum,CBARP,gene-level STMN2,188,-0.332,3.292602000209843e-06,1.7246962858242035e-05,yes
Cerebellum,ATP2A2,cryptic STMN2 PSI,188,-0.03,0.6863926209861303,0.7989755376558131,yes
Cerebellum,ATP2A2,gene-level STMN2,188,0.664,2.8476751635335825e-25,5.220737799811568e-24,yes
Cerebellum,ORAI2,cryptic STMN2 PSI,188,-0.009,0.90628084399396,0.9404801211258076,yes
Cerebellum,ORAI2,gene-level STMN2,188,-0.289,5.6961925395705694e-05,0.00023924950400092452,yes
Cerebellum,STIM1,cryptic STMN2 PSI,188,-0.062,0.3951817742515386,0.5707701193927596,yes
Cerebellum,STIM1,gene-level STMN2,188,-0.081,0.2698823637686209,0.4412490920771208,yes
Cerebellum,ORAI1,cryptic STMN2 PSI,188,-0.076,0.2994619529012615,0.46071069677117155,yes
Cerebellum,ORAI1,gene-level STMN2,188,-0.259,0.0003306056302137,0.0013469118267965556,yes
Cerebellum,ATP2A3,cryptic STMN2 PSI,188,-0.037,0.6187964889670041,0.7506326588832248,yes
Cerebellum,ATP2A3,gene-level STMN2,188,0.203,0.005285527661135,0.016377691344361973,yes
Cerebellum,SNAP25,cryptic STMN2 PSI,188,0.049,0.5056384702499555,0.6661105596107197,yes
Cerebellum,SNAP25,gene-level STMN2,188,0.785,1.796298751164893e-40,7.903714505125529e-39,yes
Cerebellum,GFAP,cryptic STMN2 PSI,188,-0.036,0.6209779268943042,0.7506326588832248,yes
Cerebellum,GFAP,gene-level STMN2,188,-0.183,0.0119965141193061,0.03383632187496592,yes
Cerebellum,STMN2,cryptic STMN2 PSI,188,0.029,0.6900332008176303,0.7989858114730456,yes
Cerebellum,STMN2,gene-level STMN2,188,1.0,0.0,,no
Cortex Frontal,TRPC1,cryptic STMN2 PSI,184,0.08,0.2828706412031933,0.44770892852303973,yes
Cortex Frontal,TRPC1,gene-level STMN2,184,0.599,2.816369657253679e-19,4.1306754973053955e-18,yes
Cortex Frontal,SARAF,cryptic STMN2 PSI,184,0.009,0.8998740645209402,0.9382573184578523,yes
Cortex Frontal,SARAF,gene-level STMN2,184,0.86,5.887007256079353e-55,6.475707981687288e-53,yes
Cortex Frontal,CBARP,cryptic STMN2 PSI,184,-0.139,0.0601695161617633,0.13462532045468023,yes
Cortex Frontal,CBARP,gene-level STMN2,184,-0.515,7.70184664785479e-14,8.472031312640269e-13,yes
Cortex Frontal,ATP2A2,cryptic STMN2 PSI,184,-0.007,0.9266449552004624,0.9440902090879648,yes
Cortex Frontal,ATP2A2,gene-level STMN2,184,0.706,4.222546914476575e-29,1.1612004014810582e-27,yes
Cortex Frontal,ORAI2,cryptic STMN2 PSI,184,-0.113,0.1278033200476,0.24449330791714785,yes
Cortex Frontal,ORAI2,gene-level STMN2,184,-0.254,0.0005014618225104,0.0020058472900416,yes
Cortex Frontal,STIM1,cryptic STMN2 PSI,184,-0.133,0.0709050993775055,0.15293256728481577,yes
Cortex Frontal,STIM1,gene-level STMN2,184,-0.082,0.2707664883200514,0.4412490920771208,yes
Cortex Frontal,ORAI1,cryptic STMN2 PSI,184,-0.086,0.2472114528707326,0.41835784331970133,yes
Cortex Frontal,ORAI1,gene-level STMN2,184,-0.544,1.4983296252041786e-15,1.7349079870785226e-14,yes
Cortex Frontal,ATP2A3,cryptic STMN2 PSI,184,-0.042,0.5678349410724621,0.7145112569830927,yes
Cortex Frontal,ATP2A3,gene-level STMN2,184,-0.476,8.587612201613005e-12,6.29758228118287e-11,yes
Cortex Frontal,SNAP25,cryptic STMN2 PSI,184,-0.044,0.5489416974801173,0.7062602019719711,yes
Cortex Frontal,SNAP25,gene-level STMN2,184,0.856,5.781339498121833e-54,4.239648965289344e-52,yes
Cortex Frontal,GFAP,cryptic STMN2 PSI,184,0.074,0.3199919401660195,0.4821796358666047,yes
Cortex Frontal,GFAP,gene-level STMN2,184,-0.323,7.926780954625473e-06,3.963390477312736e-05,yes
Cortex Frontal,STMN2,cryptic STMN2 PSI,184,0.023,0.7609710009954934,0.8541511235663701,yes
Cortex Frontal,STMN2,gene-level STMN2,184,1.0,0.0,,no
Cortex Motor Lateral,TRPC1,cryptic STMN2 PSI,85,-0.03,0.7851626602552557,0.8700822843678064,yes
Cortex Motor Lateral,TRPC1,gene-level STMN2,85,0.445,1.958013782095308e-05,9.572511823577062e-05,yes
Cortex Motor Lateral,SARAF,cryptic STMN2 PSI,85,-0.046,0.6769629200542964,0.7921906511273682,yes
Cortex Motor Lateral,SARAF,gene-level STMN2,85,0.867,7.21837585519691e-27,1.5880426881433202e-25,yes
Cortex Motor Lateral,CBARP,cryptic STMN2 PSI,85,-0.105,0.3397077562188679,0.5016823477467425,yes
Cortex Motor Lateral,CBARP,gene-level STMN2,85,-0.066,0.5489567933509412,0.7062602019719711,yes
Cortex Motor Lateral,ATP2A2,cryptic STMN2 PSI,85,-0.119,0.2778912125302983,0.4461912774699239,yes
Cortex Motor Lateral,ATP2A2,gene-level STMN2,85,0.683,5.694038102329803e-13,5.446471228315464e-12,yes
Cortex Motor Lateral,ORAI2,cryptic STMN2 PSI,85,0.016,0.8852788467085323,0.9290133877071383,yes
Cortex Motor Lateral,ORAI2,gene-level STMN2,85,-0.201,0.0650788119219755,0.1431733862283461,yes
