Family,Gene,TPM_control,TPM_KD,TPM_control_adjusted,TPM_KD_adjusted,share_of_family_control_pct,dominant,change_pct_adjusted,delta_TPM_adjusted,log2FC,padj
STIM (ER Ca2+ sensor),STIM1,35.46,50.54,30.95,57.74,64.0,dominant,86.5,26.79,0.929,4.32e-47
STIM (ER Ca2+ sensor),STIM2,20.01,12.02,17.45,13.73,36.0,,-21.3,-3.71,-0.527,1.84e-07
STIM (ER Ca2+ sensor),FAMILY TOTAL,55.47,62.55,48.4,71.47,100.0,,47.7,23.07,,
ORAI (CRAC channel),ORAI1,10.6,11.7,9.25,13.37,15.2,,44.5,4.12,0.433,0.000245
ORAI (CRAC channel),ORAI2,53.78,35.86,46.92,40.98,77.2,dominant,-12.7,-5.95,-0.173,0.00215
ORAI (CRAC channel),ORAI3,5.24,20.06,4.57,22.92,7.5,,401.4,18.35,2.056,2.3200000000000002e-64
ORAI (CRAC channel),FAMILY TOTAL,69.62,67.62,60.75,77.27,100.0,,27.2,16.52,,
SERCA (Ca2+ re-uptake into ER),ATP2A1,0.67,0.96,0.58,1.1,0.4,,87.8,0.51,0.959,0.0243
SERCA (Ca2+ re-uptake into ER),ATP2A2,162.38,103.1,141.71,117.8,98.1,dominant,-16.9,-23.91,-0.247,8.71e-09
SERCA (Ca2+ re-uptake into ER),ATP2A3,2.4,7.64,2.09,8.73,1.5,,317.0,6.64,1.306,1.43e-29
SERCA (Ca2+ re-uptake into ER),FAMILY TOTAL,165.45,111.7,144.39,127.63,100.0,,-11.6,-16.76,,
TRPC,TRPC1,4.34,6.06,3.79,6.92,98.2,dominant,82.9,3.14,0.958,1.26e-12
TRPC,TRPC3,0.06,0.02,0.05,0.02,1.3,,,-0.03,-0.938,0.475
TRPC,TRPC4,0.0,0.0,0.0,0.0,0.0,,,0.0,,
TRPC,TRPC5,0.02,0.0,0.02,0.0,0.4,,,-0.01,-1.633,0.454
TRPC,TRPC6,0.0,0.0,0.0,0.0,0.1,,,-0.0,,
TRPC,FAMILY TOTAL,4.42,6.08,3.86,6.95,100.0,,80.3,3.1,,
SOCE regulators,SARAF,179.27,191.68,156.45,218.99,82.4,dominant,40.0,62.54,0.548,5.85e-37
SOCE regulators,STIMATE,14.31,12.01,12.49,13.72,6.6,,9.9,1.23,-0.05,0.718
SOCE regulators,CRACR2A,8.31,4.35,7.25,4.97,3.8,,-31.4,-2.28,-0.56,0.00043
SOCE regulators,CRACR2B,1.18,1.55,1.03,1.77,0.5,,72.0,0.74,0.925,0.0165
SOCE regulators,CBARP,14.57,6.56,12.73,7.49,6.7,,-41.1,-5.24,-1.254,3.05e-25
SOCE regulators,FAMILY TOTAL,217.64,216.15,189.95,246.96,100.0,,30.0,57.01,,
Mitochondrial Ca2+ uptake,MCU,26.79,8.21,23.39,9.38,13.5,,-59.9,-14.0,-1.041,2.8899999999999995e-23
Mitochondrial Ca2+ uptake,MICU1,70.93,50.3,61.91,57.47,35.7,,-7.2,-4.44,-0.069,0.406
Mitochondrial Ca2+ uptake,MICU2,29.5,12.21,25.72,13.95,14.8,,-45.8,-11.77,-0.566,6.92e-07
Mitochondrial Ca2+ uptake,MICU3,3.2,2.97,2.79,3.4,1.6,,21.6,0.6,0.565,0.0275
Mitochondrial Ca2+ uptake,MCUR1,49.95,35.18,43.58,40.17,25.1,,-7.8,-3.4,0.044,0.621
Mitochondrial Ca2+ uptake,MCUB,18.28,4.69,15.96,5.36,9.2,,-66.4,-10.6,-1.655,1.5099999999999999e-30
Mitochondrial Ca2+ uptake,FAMILY TOTAL,198.64,113.57,173.34,129.73,100.0,,-25.2,-43.61,,
PMCA (Ca2+ extrusion),ATP2B1,20.26,18.77,17.7,21.45,59.0,dominant,21.2,3.75,0.29,2.79e-05
PMCA (Ca2+ extrusion),ATP2B2,2.79,6.54,2.43,7.48,8.1,,207.3,5.04,1.346,8.6e-39
PMCA (Ca2+ extrusion),ATP2B3,0.31,0.97,0.27,1.11,0.9,,306.6,0.83,2.584,2.1999999999999996e-24
PMCA (Ca2+ extrusion),ATP2B4,10.99,9.21,9.58,10.52,32.0,,9.8,0.94,0.308,4.98e-06
PMCA (Ca2+ extrusion),FAMILY TOTAL,34.34,35.49,29.99,40.56,100.0,,35.2,10.57,,
