cohort,group,region,gene,n_case,n_control,log2FC,cliffs_delta,q_value
ALS (NYGC GSE153960),ALS,Cerebellum,TRPC1,158.0,38.0,0.456,0.538,1.49e-06
ALS (NYGC GSE153960),ALS,Cerebellum,SARAF,158.0,38.0,0.808,0.599,2.35e-07
ALS (NYGC GSE153960),ALS,Cerebellum,CBARP,158.0,38.0,-0.509,-0.544,1.19e-06
ALS (NYGC GSE153960),ALS,Frontal cortex,TRPC1,154.0,56.0,0.287,0.486,4.27e-07
ALS (NYGC GSE153960),ALS,Frontal cortex,SARAF,154.0,56.0,0.567,0.525,6.13e-08
ALS (NYGC GSE153960),ALS,Frontal cortex,CBARP,154.0,56.0,-0.506,-0.511,1.21e-07
ALS (NYGC GSE153960),ALS,Motor cortex (lateral),TRPC1,82.0,18.0,0.4,0.511,0.00881
ALS (NYGC GSE153960),ALS,Motor cortex (lateral),SARAF,82.0,18.0,0.733,0.415,0.0247
ALS (NYGC GSE153960),ALS,Motor cortex (lateral),CBARP,82.0,18.0,-0.491,-0.509,0.00894
ALS (NYGC GSE153960),ALS,Motor cortex (medial),TRPC1,81.0,19.0,0.346,0.465,0.0132
ALS (NYGC GSE153960),ALS,Motor cortex (medial),SARAF,81.0,19.0,0.547,0.402,0.0271
ALS (NYGC GSE153960),ALS,Motor cortex (medial),CBARP,81.0,19.0,-0.683,-0.523,0.00797
ALS (NYGC GSE153960),ALS,Occipital cortex,TRPC1,45.0,11.0,0.191,0.176,0.666
ALS (NYGC GSE153960),ALS,Occipital cortex,SARAF,45.0,11.0,0.656,0.277,0.51
ALS (NYGC GSE153960),ALS,Occipital cortex,CBARP,45.0,11.0,0.01,-0.16,0.698
ALS (NYGC GSE153960),ALS,Temporal cortex,TRPC1,25.0,24.0,0.259,0.447,0.038
ALS (NYGC GSE153960),ALS,Temporal cortex,SARAF,25.0,24.0,0.402,0.503,0.0255
ALS (NYGC GSE153960),ALS,Temporal cortex,CBARP,25.0,24.0,-0.831,-0.633,0.0189
ALS (NYGC GSE153960),ALS,Hippocampus,TRPC1,29.0,11.0,0.376,0.699,0.00207
ALS (NYGC GSE153960),ALS,Hippocampus,SARAF,29.0,11.0,1.215,0.956,0.000195
ALS (NYGC GSE153960),ALS,Hippocampus,CBARP,29.0,11.0,-0.894,-0.636,0.00495
ALS (NYGC GSE153960),ALS,Spinal cord (cervical),TRPC1,155.0,41.0,0.075,0.058,0.628
ALS (NYGC GSE153960),ALS,Spinal cord (cervical),SARAF,155.0,41.0,0.429,0.479,1.11e-05
ALS (NYGC GSE153960),ALS,Spinal cord (cervical),CBARP,155.0,41.0,-0.438,-0.461,2.4e-05
ALS (NYGC GSE153960),ALS,Spinal cord (lumbar),TRPC1,140.0,43.0,0.057,0.112,0.327
ALS (NYGC GSE153960),ALS,Spinal cord (lumbar),SARAF,140.0,43.0,0.42,0.499,3.87e-06
ALS (NYGC GSE153960),ALS,Spinal cord (lumbar),CBARP,140.0,43.0,-0.572,-0.455,2.54e-05
ALS (NYGC GSE153960),ALS,Spinal cord (thoracic),TRPC1,43.0,10.0,-0.117,-0.321,0.491
ALS (NYGC GSE153960),ALS,Spinal cord (thoracic),SARAF,43.0,10.0,-0.008,0.102,0.877
ALS (NYGC GSE153960),ALS,Spinal cord (thoracic),CBARP,43.0,10.0,-0.3,-0.172,0.765
"Other neurological disorders (NYGC, same controls)",ONd,Cerebellum,TRPC1,,,-0.245,-0.407,0.00996
"Other neurological disorders (NYGC, same controls)",ONd,Cerebellum,SARAF,,,0.01,-0.061,0.756
"Other neurological disorders (NYGC, same controls)",ONd,Cerebellum,CBARP,,,-0.169,-0.088,0.639
"Other neurological disorders (NYGC, same controls)",ONd,Frontal cortex,TRPC1,,,-0.444,-0.717,6.47e-08
"Other neurological disorders (NYGC, same controls)",ONd,Frontal cortex,SARAF,,,-0.309,-0.437,0.000533
"Other neurological disorders (NYGC, same controls)",ONd,Frontal cortex,CBARP,,,0.102,0.094,0.489
"Other neurological disorders (NYGC, same controls)",ONd,Temporal cortex,TRPC1,,,-0.281,-0.571,0.00252
"Other neurological disorders (NYGC, same controls)",ONd,Temporal cortex,SARAF,,,-0.385,-0.5,0.00656
"Other neurological disorders (NYGC, same controls)",ONd,Temporal cortex,CBARP,,,-0.252,-0.283,0.121
Alzheimer's disease (GSE125583),AD,Fusiform gyrus,TRPC1,219.0,70.0,-0.476,-0.447,1.61e-07
Parkinson's disease (GSE68719),PD,BA9,TRPC1,29.0,44.0,-0.57,-0.677,0.00018
GSE123496,MS,Corpus callosum,TRPC1,5.0,5.0,-0.321,-0.52,0.42
GSE123496,MS,Corpus callosum,SARAF,5.0,5.0,-0.1812,-0.2,0.734
