comparison,gene,chrom,start,end,strand,junction_class,lsv_type,PSI_knockdown,PSI_control,delta_PSI,CI95_low,CI95_high,q_value,reads_knockdown,reads_control,LSV_total_knockdown,LSV_total_control
K562 poly(A)+ mRNA,AGRN,1,1044440,1044887,+,novel splice site,donor,0.34878025,0.0001,0.34868025,0.3103448275862069,0.4,0.0024246168032716,34.0,0.0,98.0,20.0
K562 poly(A)+ mRNA,AGRN,1,1044440,1044891,+,novel splice site,donor,0.28379325,0.0001,0.28369325,0.2,0.3448275862068966,0.0084253113987921,28.0,0.0,98.0,20.0
K562 poly(A)+ mRNA,PFKP,10,3099353,3099556,+,novel splice site,donor,0.33878225,0.03634275,0.3024395,0.2310344827586206,0.3770491803278688,3.935104096329961e-06,41.0,4.0,121.0,104.0
K562 poly(A)+ mRNA,HDGFL2,19,4491836,4492014,+,novel splice site,donor,0.2275545,0.0001,0.2274545,0.196078431372549,0.2676056338028169,0.0008623830194933,39.0,0.0,173.0,41.0
K562 poly(A)+ mRNA,ATG4B,2,241668686,241668781,+,novel splice site,donor,0.28379325,0.0001,0.28369325,0.1555555555555555,0.3898305084745763,1.0478397082134032e-05,30.0,0.0,104.0,62.0
K562 poly(A)+ mRNA,AGRN,1,1044988,1045160,+,novel splice site,acceptor,0.5674865,0.0001,0.5673865,0.5606060606060606,0.5769230769230769,8.18231367195293e-06,67.0,0.0,118.0,20.0
K562 poly(A)+ mRNA,PFKP,10,3099820,3101364,+,novel splice site,acceptor,0.340032,0.020096,0.319936,0.1865079365079365,0.4411764705882353,2.4479104031802934e-07,42.0,2.0,122.0,102.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),AGRN,1,1044440,1044891,+,novel splice site,donor,0.5774845,0.0001,0.5773845,0.5192307692307693,0.6304347826086957,3.2204973499087343e-37,86.0,0.0,149.0,500.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),GPSM2,1,108885579,108896316,+,novel splice site,donor,0.6124775,0.0001,0.6123775,0.56,0.6410256410256411,4.046591160842394e-44,127.0,0.0,206.0,478.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),PFKP,10,3099353,3099556,+,novel splice site,donor,0.96615675,0.0001,0.96605675,0.9411764705882352,1.0,6.11253521784834e-32,30.0,0.0,31.0,301.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),HDGFL2,19,4491836,4492014,+,novel splice site,donor,0.69871025,0.0001,0.69861025,0.6601307189542484,0.7344632768361582,2.7105280264301636e-75,359.0,0.0,512.0,719.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ELAVL3,19,11458612,11463495,-,novel splice site,donor,0.8224355,0.00134975,0.82108575,0.5934562279670975,0.9996765847347996,1.0076451574652188e-64,101.0,1.0,123.0,3248.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),UNC13A,19,17641557,17642413,-,novel splice site,donor,0.974905,0.0001,0.974805,0.9230769230769232,1.0,8.693230343887876e-40,43.0,0.0,44.0,294.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ATG4B,2,241668686,241668781,+,novel splice site,donor,0.7124575,0.0001,0.7123575,0.6585365853658537,0.8,2.781784482882884e-40,84.0,0.0,118.0,323.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ATG4B,2,241668686,241668874,+,novel splice site,donor,0.2787942499999999,0.0001,0.27869425,0.2,0.3170731707317073,1.8034363456794401e-12,33.0,0.0,118.0,323.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ACTL6B,7,100650136,100650574,-,novel splice site,donor,0.98115375,0.0001,0.98105375,0.9686274509803922,0.9943502824858758,1.927582215620165e-168,582.0,0.0,593.0,900.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),STMN2,8,79611215,79616821,+,novel splice site,donor,0.984903,0.0275944999999999,0.9573085,0.9611660196137954,0.9716383296954788,2.008599928604145e-304,10926.0,176.0,11046.0,7779.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),AGRN,1,1044988,1045160,+,novel splice site,acceptor,0.63122375,0.0001,0.63112375,0.5853658536585366,0.6794871794871795,1.2641708332226349e-43,110.0,0.0,173.0,500.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),PFKP,10,3099820,3101364,+,novel splice site,acceptor,0.9724055,0.0001,0.9723055,0.9230769230769232,1.0,4.692245054952763e-37,37.0,0.0,38.0,301.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),RSF1,11,77813788,77820527,-,novel splice site,acceptor,0.215057,0.0001,0.214957,0.1647058823529411,0.2444444444444444,5.5161642651769847e-11,58.0,0.0,271.0,274.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ARHGAP32,11,128992047,128998318,-,novel splice site,acceptor,0.8436812499999999,0.0001,0.84358125,0.7701149425287356,0.9111111111111112,8.00064856071675e-40,260.0,0.0,308.0,97.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),HDGFL2,19,4492153,4493702,+,novel splice site,acceptor,0.78369325,0.0001,0.78359325,0.7613636363636364,0.8142857142857143,3.143527070868251e-89,443.0,0.0,563.0,624.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),HDGFL2,19,4492153,4493705,+,fully novel,acceptor,0.88367325,0.0001,0.88357325,0.8181818181818182,1.0,1.4693642003758756e-35,109.0,0.0,124.0,95.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ELAVL3,19,11463663,11466171,-,novel splice site,acceptor,0.7062087499999999,0.0001,0.70610875,0.6785714285714286,1.0,5.413143676914981e-41,52.0,0.0,74.0,3247.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),UNC13A,19,17642542,17642844,-,novel splice site,acceptor,0.724955,0.0001,0.724855,0.7142857142857143,0.75,3.397035553822568e-25,32.0,0.0,44.0,294.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ATG4B,2,241668986,241670725,+,novel splice site,acceptor,0.8424315,0.0001,0.8423315,0.6363636363636364,1.0,4.2456848754101004e-41,60.0,0.0,73.0,324.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),SETD5,3,9468616,9470458,+,novel splice site,acceptor,0.27129575,0.0001,0.27119575,0.2439024390243902,0.3086419753086419,1.2233498066531276e-23,140.0,0.0,521.0,857.0
SH-SY5Y 75 ng/mL (MAPQ-filtered set),ACTL6B,7,100650644,100655018,-,novel splice site,acceptor,0.974905,0.0001,0.974805,0.9466666666666668,0.9937106918238994,2.194388991523876e-149,417.0,0.0,428.0,900.0
SH-SY5Y 75 ng/mL,AGRN,1,1044440,1044891,+,novel splice site,donor,0.51874625,0.0001,0.51864625,0.4929577464788732,0.5614035087719298,1.6500857177362877e-25,99.0,0.0,191.0,606.0
SH-SY5Y 75 ng/mL,GPSM2,1,108885579,108896316,+,novel splice site,donor,0.51874625,0.0001,0.51864625,0.4915254237288136,0.5360824742268041,5.372087728812104e-26,132.0,0.0,253.0,503.0
SH-SY5Y 75 ng/mL,PFKP,10,3099353,3099556,+,novel splice site,donor,0.96865625,0.0001,0.96855625,0.9444444444444444,1.0,2.2742152413403817e-31,35.0,0.0,36.0,421.0
SH-SY5Y 75 ng/mL,HDGFL2,19,4491836,4492014,+,novel splice site,donor,0.6499699999999999,0.0001,0.64987,0.5608974358974359,0.7216494845360825,7.865823072662838e-50,626.0,0.0,963.0,1164.0
SH-SY5Y 75 ng/mL,ELAVL3,19,11458612,11463495,-,novel splice site,donor,0.8074385,0.0025995,0.804839,0.6978740875089106,0.9997401247401247,7.8619251641527e-52,139.0,1.0,177.0,4015.0
SH-SY5Y 75 ng/mL,UNC13A,19,17641557,17642413,-,novel splice site,donor,0.979904,0.0001,0.979804,0.9583333333333334,1.0,2.68356476501213e-41,59.0,0.0,60.0,371.0
SH-SY5Y 75 ng/mL,ATG4B,2,241668686,241668781,+,novel splice site,donor,0.564987,0.0001,0.564887,0.5,0.625,2.8966682287366918e-27,110.0,0.0,195.0,463.0
SH-SY5Y 75 ng/mL,ATG4B,2,241668686,241668874,+,novel splice site,donor,0.2463007499999999,0.0001,0.24620075,0.1944444444444444,0.2711864406779661,6.428330544398964e-10,47.0,0.0,195.0,463.0
SH-SY5Y 75 ng/mL,ACTL6B,7,100650136,100650574,-,novel splice site,donor,0.97615475,0.0001,0.97605475,0.9693877551020408,0.9907407407407408,1.563217132357194e-120,692.0,0.0,705.0,1063.0
SH-SY5Y 75 ng/mL,STMN2,8,79611215,79616821,+,novel splice site,donor,0.96365725,0.035093,0.92856425,0.93234910727751,0.9569612613847512,8.837734589299614e-132,13950.0,231.0,14364.0,8606.0
