comparison,gene,chrom,start,end,strand,junction_class,lsv_type,PSI_knockdown,PSI_control,delta_PSI,CI95_low,CI95_high,q_value,reads_knockdown,reads_control,LSV_total_knockdown,LSV_total_control
2C12,Fam135a,chr1,24022006,24022506,-,novel splice site,donor,0.240052,0.0001,0.239952,0.1981132075471698,0.3130434782608696,2.2240027447762984e-18,157.0,0.0,649.0,538.0
2C12,Ercc5,chr1,44148138,44156254,+,novel splice site,donor,0.3237852499999999,0.080084,0.2437012499999999,0.1013059701492537,0.3965693804403482,0.0412534881394149,21.0,6.0,65.0,71.0
2C12,Clk1,chr1,58421240,58421800,-,fully novel,donor,0.54124175,0.0001,0.54114175,0.4473684210526316,0.72,6.358916375359461e-11,42.0,0.0,78.0,62.0
2C12,3110009E18Rik,chr1,120121218,120126332,+,novel splice site,donor,0.5924815,0.0001,0.5923815,0.5494505494505495,0.6511627906976745,1.0389505943779622e-34,180.0,0.0,304.0,225.0
2C12,Hace1,chr10,45638404,45639767,+,novel splice site,donor,0.4825035,0.025095,0.4574085,0.3732253236508245,0.5161413562559695,4.288622554010707e-23,130.0,7.0,270.0,346.0
2C12,Ube2d1,chr10,71262263,71263584,-,novel splice site,donor,0.7824435,0.015097,0.7673464999999999,0.6948907437510364,0.840075295562799,7.935469726826097e-126,2507.0,30.0,3217.0,2910.0
2C12,Specc1l,chr10,75212220,75228754,+,novel splice site,donor,0.2925415,0.03634275,0.25619875,0.2451613910220391,0.276229837124926,1.7850045842687263e-14,321.0,38.0,1103.0,1182.0
2C12,Washc4,chr10,83560527,83560926,+,novel splice site,donor,0.4725054999999999,0.0225955,0.44991,0.4054730983302411,0.5370833333333334,7.437537317025766e-30,171.0,21.0,369.0,980.0
2C12,Usp15,chr10,123146939,123150961,-,novel splice site,donor,0.355029,0.01134775,0.34368125,0.2548657919506756,0.407783101554283,4.665521426772283e-32,487.0,14.0,1383.0,1793.0
2C12,Ntn1,chr11,68386185,68386890,-,novel splice site,donor,0.330034,0.010098,0.319936,0.2448218867350396,0.3719788519637462,4.0732058216383553e-22,196.0,6.0,601.0,672.0
2C12,Nfe2l1,chr11,96822287,96827197,-,novel splice site,donor,0.84618075,0.4225155,0.42366525,0.1842416477776682,0.7142857142857143,4.0296108778905373e-07,86.0,95.0,102.0,211.0
2C12,Arhgap23,chr11,97446552,97448110,+,novel splice site,donor,0.46375725,0.0275944999999999,0.43616275,0.3289207574921861,0.6609351432880844,7.348251907542854e-16,76.0,7.0,167.0,252.0
2C12,Caskin2,chr11,115805190,115806138,-,novel splice site,donor,0.210058,0.0001,0.209958,0.1142857142857142,0.3484848484848485,7.41783013496764e-10,40.0,0.0,187.0,296.0
2C12,Rab10os,chr12,3238113,3239194,+,novel splice site,donor,0.2463007499999999,0.0001,0.24620075,0.2051282051282051,0.3,1.994846817470163e-12,61.0,0.0,249.0,272.0
2C12,Rab10os,chr12,3239010,3239194,+,novel splice site,donor,0.2375525,0.0001,0.2374525,0.1666666666666666,0.3157894736842105,5.000713126661494e-09,24.0,0.0,101.0,254.0
2C12,Pcnx4,chr12,72567261,72567459,+,novel splice site,donor,0.25005,0.02384525,0.22620475,0.1184873949579831,0.3172043010752688,1.1367812913372374e-05,52.0,6.0,212.0,185.0
2C12,Trmt5,chr12,73280633,73280955,-,novel splice site,donor,0.3525295,0.07633475,0.27619475,0.2203598207651257,0.3282565387828546,2.467955981864689e-09,160.0,40.0,455.0,505.0
2C12,Spata7,chr12,98634320,98634590,+,novel splice site,donor,0.9374125,0.0001,0.9373125,0.8924731182795699,0.9666666666666668,3.260381544156098e-65,198.0,0.0,212.0,188.0
2C12,Prl2c5,chr13,13190769,13191638,+,novel splice site,donor,0.53874225,0.3275345,0.2112077499999999,0.0759662493195427,0.3538461538461538,0.0237897718601871,130.0,87.0,240.0,253.0
2C12,Gm3325,chr13,62016053,62017525,+,novel splice site,donor,0.3587782499999999,0.0001,0.35867825,0.2727272727272727,0.5277777777777778,1.350326034944541e-13,98.0,0.0,279.0,135.0
2C12,.,chr15,10812738,10816024,.,fully novel,donor,0.73870225,0.4400119999999999,0.29869025,0.07638761677963,0.7256637168141593,0.030027614842065,46.0,64.0,63.0,138.0
2C12,Pvt1,chr15,62107466,62174123,+,novel splice site,donor,0.22130575,0.0001,0.22120575,0.1967213114754098,0.2328767123287671,1.9583488153060879e-10,49.0,0.0,224.0,255.0
2C12,Pvt1,chr15,62149353,62174123,+,novel splice site,donor,0.305039,0.01634675,0.28869225,0.0635059994146912,0.6118618618618619,5.167408687986036e-06,33.0,2.0,107.0,121.0
2C12,.,chr15,64521131,64557194,.,fully novel,donor,0.6374725,0.34128175,0.29619075,0.0890547263681592,0.5970350404312668,0.0465799898594662,61.0,21.0,96.0,60.0
2C12,Adcy6,chr15,98592233,98592672,-,novel splice site,donor,0.3325335,0.10882825,0.2237052499999999,0.0869565217391304,0.3274336283185841,0.0122733277960036,34.0,22.0,103.0,175.0
2C12,.,chr15,98932822,99037043,.,fully novel,donor,0.8211857499999999,0.2463007499999999,0.574885,0.2493483522621486,0.7979097682119205,1.5227706270845468e-15,119.0,50.0,149.0,222.0
2C12,.,chr15,98951318,99037042,.,fully novel,donor,0.4775045,0.14632075,0.33118375,0.1629091387266192,0.5650406504065041,0.0006631082981159,117.0,14.0,244.0,84.0
2C12,Glis2,chr16,4611870,4612001,+,novel splice site,donor,0.2912917499999999,0.05009,0.2412017499999999,0.1907108303946051,0.2860950317637634,9.42651701825996e-12,341.0,52.0,1186.0,1118.0
2C12,Zbtb11,chr16,56002827,56004072,+,novel splice site,donor,0.6612177499999999,0.0275944999999999,0.63362325,0.5813409750365699,0.7122415953861316,1.5850718427415536e-46,381.0,11.0,575.0,420.0
