comparison,gene,chrom,start,end,strand,junction_class,lsv_type,PSI_knockdown,PSI_control,delta_PSI,CI95_low,CI95_high,q_value,reads_knockdown,reads_control,LSV_total_knockdown,LSV_total_control
iPSC colonies,ATP2A2,12,110346119,110346212,+,novel splice site,acceptor,0.62872425,0.9999,-0.37117575,-0.7647058823529411,0.0,5.010799152303369e-06,60.0,77.0,125.0,77.0
iPSC colonies,ATP2A2,12,110345383,110346212,+,novel splice site,acceptor,0.3712757499999999,0.0001,0.3711757499999999,0.0,0.7647058823529411,5.010799152303369e-06,65.0,0.0,125.0,77.0
K562 poly(A)+ mRNA,ATP2A3,17,3941655,3942605,-,annotated,donor,0.9999,0.8886722499999999,0.11122775,0.1071428571428571,0.1153846153846154,0.00389033324953,104.0,73.0,104.0,82.0
K562 poly(A)+ mRNA,ATP2A3,17,3941655,3941773,-,novel splice site,donor,0.0001,0.11132775,-0.11122775,-0.1153846153846153,-0.1071428571428571,0.00389033324953,0.0,9.0,104.0,82.0
SH-SY5Y 75 ng/mL,ATP2A3,17,3941655,3942605,-,annotated,donor,0.8211857499999999,0.9824035,-0.16121775,-0.2970443349753694,-0.0591487009397456,0.0472631179636539,80.0,66.0,98.0,67.0
SH-SY5Y 75 ng/mL,ATP2A3,17,3941655,3943390,-,novel combination,donor,0.1788142499999999,0.0175964999999999,0.16121775,0.0591487009397457,0.2970443349753695,0.0472631179636539,18.0,1.0,98.0,67.0
SH-SY5Y 25 ng/mL,ATP2A3,17,3941655,3942605,-,annotated,donor,0.784943,0.9824035,-0.1974605,-0.2327586206896551,-0.1615896945288381,0.0344049193689933,65.0,66.0,82.0,67.0
SH-SY5Y 25 ng/mL,ATP2A3,17,3941655,3943390,-,novel combination,donor,0.215057,0.0175964999999999,0.1974605,0.1615896945288379,0.2327586206896551,0.0344049193689933,17.0,1.0,82.0,67.0
SH-SY5Y 75 ng/mL,CBARP,19,1235146,1235311,-,novel splice site,donor,0.61372725,0.085083,0.5286442499999999,0.2658486707566462,0.935,0.0098447924448186,6.0,14.0,10.0,181.0
SH-SY5Y 75 ng/mL,CBARP,19,1235146,1235500,-,annotated,donor,0.38627275,0.914917,-0.5286442499999999,-0.935,-0.2658486707566462,0.0098447924448186,4.0,167.0,10.0,181.0
