dataset	group	sample	chrom	start	end	count	mapped_reads
SH-SY5Y	Control	SRR33374996	19	1234291	1234570	18	126879745
SH-SY5Y	Control	SRR33374996	19	1234332	1234570	54	126879745
SH-SY5Y	Control	SRR33374996	19	1234743	1235000	58	126879745
SH-SY5Y	Control	SRR33374996	19	1235146	1235311	5	126879745
SH-SY5Y	Control	SRR33374996	19	1235146	1235340	1	126879745
SH-SY5Y	Control	SRR33374996	19	1235146	1235500	42	126879745
SH-SY5Y	Control	SRR33374996	19	1235343	1235500	11	126879745
SH-SY5Y	Control	SRR33374996	19	1235391	1235500	4	126879745
SH-SY5Y	Control	SRR33374996	19	1235566	1235778	39	126879745
SH-SY5Y	Control	SRR33374996	19	1235915	1235995	5	126879745
SH-SY5Y	Control	SRR33374996	19	1235919	1235995	67	126879745
SH-SY5Y	Control	SRR33375001	19	1234291	1234570	8	135708323
SH-SY5Y	Control	SRR33375001	19	1234332	1234570	39	135708323
SH-SY5Y	Control	SRR33375001	19	1234743	1235000	58	135708323
SH-SY5Y	Control	SRR33375001	19	1235146	1235311	5	135708323
SH-SY5Y	Control	SRR33375001	19	1235146	1235500	27	135708323
SH-SY5Y	Control	SRR33375001	19	1235343	1235500	9	135708323
SH-SY5Y	Control	SRR33375001	19	1235391	1235500	9	135708323
SH-SY5Y	Control	SRR33375001	19	1235566	1235778	68	135708323
SH-SY5Y	Control	SRR33375001	19	1235915	1235995	4	135708323
SH-SY5Y	Control	SRR33375001	19	1235919	1235995	66	135708323
SH-SY5Y	Control	SRR33374995	19	1234291	1234570	16	133334310
SH-SY5Y	Control	SRR33374995	19	1234332	1234570	60	133334310
SH-SY5Y	Control	SRR33374995	19	1234743	1235000	60	133334310
SH-SY5Y	Control	SRR33374995	19	1235146	1235311	3	133334310
SH-SY5Y	Control	SRR33374995	19	1235146	1235336	2	133334310
SH-SY5Y	Control	SRR33374995	19	1235146	1235500	33	133334310
SH-SY5Y	Control	SRR33374995	19	1235343	1235500	6	133334310
SH-SY5Y	Control	SRR33374995	19	1235391	1235500	7	133334310
SH-SY5Y	Control	SRR33374995	19	1235566	1235750	3	133334310
SH-SY5Y	Control	SRR33374995	19	1235566	1235778	55	133334310
SH-SY5Y	Control	SRR33374995	19	1235919	1235995	76	133334310
SH-SY5Y	TDP-43 KD	SRR33374999	19	1234291	1234570	17	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1234332	1234570	25	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1234743	1235000	15	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1235146	1235311	2	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1235343	1235500	17	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1235566	1235750	1	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1235566	1235778	14	150856259
SH-SY5Y	TDP-43 KD	SRR33374999	19	1235919	1235995	14	150856259
SH-SY5Y	TDP-43 KD	SRR33374997	19	1234291	1234570	20	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1234332	1234570	21	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1234743	1235000	28	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235146	1235311	2	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235343	1235500	4	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235391	1235500	2	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235566	1235778	7	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235915	1235995	1	124502109
SH-SY5Y	TDP-43 KD	SRR33374997	19	1235919	1235995	13	124502109
SH-SY5Y	TDP-43 KD	SRR33375000	19	1234291	1234570	6	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1234332	1234570	9	110933422
