dataset,gene,unit,index,index_knockdown,index_control,delta,bootstrap_CI95_low,bootstrap_CI95_high,per_sample_knockdown,per_sample_control,n_boot,chrom,strand,window_5prime_or_proximal,window_3prime_or_distal
SH-SY5Y (GSE296712),ACTL6B,intron13,intronic polyadenylation index,0.67411465126725,0.58265630113526,0.0914583501319907,0.0259957217870505,0.149019982616701,0.7162;0.6513;0.6549,0.5416;0.6493;0.5571,729.0,chr7,-,100645699-100646198,100643377-100643876
SH-SY5Y (GSE296712),ACTL6B,intron4,intronic polyadenylation index,0.060953333750251,0.233808003593512,-0.172854669843261,-0.256228549354631,-0.0894807903318903,0.0376;0.1184;0.0268,0.2346;0.1541;0.3127,729.0,chr7,-,100654469-100654968,100650186-100650685
SH-SY5Y (GSE296712),ACTL6B,intron5,intronic polyadenylation index,0.495815674909091,0.556942647656168,-0.0611269727470767,-0.195421233482795,0.0491237793523626,0.5233;0.5421;0.422,0.4805;0.6912;0.4991,729.0,chr7,-,100649488-100649987,100648874-100649373
SH-SY5Y (GSE296712),ATG4B,intron4,intronic polyadenylation index,0.313408358294078,0.458142043572645,-0.144733685278566,-0.249738323611612,-0.0391070664804827,0.3884;0.2774;0.2744,0.5535;0.3525;0.4684,729.0,chr2,+,241652017-241652516,241652962-241653461
SH-SY5Y (GSE296712),ATG4B,intron7,intronic polyadenylation index,0.599294589493648,0.503889262653324,0.0954053268403247,-0.0545101830229281,0.227785333139711,0.5291;0.6417;0.6271,0.6548;0.3715;0.4854,729.0,chr2,+,241655394-241655893,241658558-241659057
SH-SY5Y (GSE296712),ATG4B,intron9,intronic polyadenylation index,0.597906807725453,0.498032143392862,0.0998746643325908,0.0116978828719124,0.188051445793269,0.5133;0.6333;0.6472,0.4272;0.5578;0.5091,729.0,chr2,+,241666889-241667388,241667593-241668092
SH-SY5Y (GSE296712),ELAVL3,intron6,intronic polyadenylation index,0.571321469060433,0.651642514552452,-0.0803210454920189,-0.205943902951255,0.0060346394442406,0.4413;0.6407;0.632,0.6306;0.6902;0.6341,729.0,chr19,-,11456560-11457059,11454928-11455427
SH-SY5Y (GSE296712),GPSM2,intron17,intronic polyadenylation index,0.217709214114334,0.389940300581456,-0.172231086467122,-0.219206461254917,-0.114748353414693,0.242;0.2113;0.1998,0.4132;0.428;0.3286,729.0,chr1,+,108924412-108924911,108929151-108929650
SH-SY5Y (GSE296712),ITPR1,termexon,UTR_distal_index,0.195592484373326,0.250107755027308,-0.0545152706539815,-0.101113599037198,-0.0056030279058047,0.2449;0.1929;0.149,0.2588;0.2267;0.2648,729.0,chr3,+,4846139-4846822,4846823-4847506
SH-SY5Y (GSE296712),ITPR3,termexon,UTR_distal_index,0.367126836984987,0.519041533995086,-0.151914697010099,-0.240256593991392,-0.0637133020396728,0.3772;0.2826;0.4415,0.5765;0.5101;0.4705,729.0,chr6,+,33695712-33696142,33696143-33696574
SH-SY5Y (GSE296712),KALRN,termexon,UTR_distal_index,0.53273251146296,0.464761092765718,0.0679714186972423,0.00654817682516,0.14311152718856,0.6145;0.5036;0.4801,0.4883;0.4683;0.4377,729.0,chr3,+,124718925-124722624,124722625-124726325
SH-SY5Y (GSE296712),MICU2,termexon,UTR_distal_index,0.277155313079388,0.361690969791488,-0.0845356567120997,-0.194044322201223,0.0258957819274071,0.3662;0.1941;0.2712,0.2707;0.3844;0.4299,729.0,chr13,-,21493022-21493353,21492691-21493021
SH-SY5Y (GSE296712),MICU3,termexon,UTR_distal_index,0.184002742566609,0.0872208811604827,0.0967818614061266,0.0654916931598131,0.12807202965244,0.1852;0.1547;0.2121,0.1017;0.0652;0.0948,729.0,chr8,+,17120288-17121464,17121465-17122642
SH-SY5Y (GSE296712),RYR3,intron100,intronic polyadenylation index,0.659365014113215,0.774862315793097,-0.115497301679882,-0.318690975006892,0.0551568800948746,0.4463;0.7631;0.7687,0.8706;0.773;0.681,729.0,chr15,+,33857965-33858464,33859025-33859524
SH-SY5Y (GSE296712),SETD5,intron21,intronic polyadenylation index,0.755736107263621,0.80750387528709,-0.0517677680234692,-0.226913226166696,0.0994356129931623,0.8158;0.5639;0.8875,0.8175;0.8675;0.7375,729.0,chr3,+,9453919-9454418,9463875-9464374
SH-SY5Y (GSE296712),SETD5,intron22,intronic polyadenylation index,0.212202929954384,0.277426378594336,-0.0652234486399517,-0.153170870696457,0.0628779723954433,0.3423;0.1701;0.1241,0.2578;0.2871;0.2874,729.0,chr3,+,9466299-9466798,9469909-9470408
SH-SY5Y (GSE296712),SETD5,intron6,intronic polyadenylation index,0.0435859312819126,0.126310280278354,-0.082724348996441,-0.110836167063009,-0.0543526578263451,0.0449;0.0723;0.0136,0.1342;0.1162;0.1285,729.0,chr3,+,9430882-9431381,9433295-9433794
SH-SY5Y (GSE296712),STIM1,intron17,intronic polyadenylation index,0.388539829218576,0.56151761001349,-0.172977780794914,-0.233496911939761,-0.123432141964832,0.3651;0.3912;0.4093,0.5237;0.6281;0.5328,729.0,chr11,+,4087070-4087569,4088152-4088651
